State/territory,SA3 code,SA3 name,Year,Sex,Rate
National,National,Australia,2015–2017,Persons,104
National,National,Australia,2015–2017,Males,135
National,National,Australia,2015–2017,Females,75
National,National,Australia,2014–2016,Persons,106
National,National,Australia,2014–2016,Males,137
National,National,Australia,2014–2016,Females,77
National,National,Australia,2013–2015,Persons,107
National,National,Australia,2013–2015,Males,137
National,National,Australia,2013–2015,Females,77
National,National,Australia,2012–2014,Persons,107
National,National,Australia,2012–2014,Males,137
National,National,Australia,2012–2014,Females,77
National,National,Australia,2011–2013,Persons,108
National,National,Australia,2011–2013,Males,139
National,National,Australia,2011–2013,Females,78
National,National,Australia,2010–2012,Persons,111
National,National,Australia,2010–2012,Males,143
National,National,Australia,2010–2012,Females,81
National,National,Australia,2009–2011,Persons,116
National,National,Australia,2009–2011,Males,149
National,National,Australia,2009–2011,Females,84
NSW,10102,Queanbeyan,2015–2017,Persons,119
NSW,10102,Queanbeyan,2015–2017,Males,149
NSW,10102,Queanbeyan,2015–2017,Females,88
NSW,10102,Queanbeyan,2014–2016,Persons,119
NSW,10102,Queanbeyan,2014–2016,Males,151
NSW,10102,Queanbeyan,2014–2016,Females,87
NSW,10102,Queanbeyan,2013–2015,Persons,116
NSW,10102,Queanbeyan,2013–2015,Males,142
NSW,10102,Queanbeyan,2013–2015,Females,88
NSW,10102,Queanbeyan,2012–2014,Persons,110
NSW,10102,Queanbeyan,2012–2014,Males,134
NSW,10102,Queanbeyan,2012–2014,Females,84
NSW,10102,Queanbeyan,2011–2013,Persons,119
NSW,10102,Queanbeyan,2011–2013,Males,143
NSW,10102,Queanbeyan,2011–2013,Females,95
NSW,10102,Queanbeyan,2010–2012,Persons,127
NSW,10102,Queanbeyan,2010–2012,Males,161
NSW,10102,Queanbeyan,2010–2012,Females,92
NSW,10102,Queanbeyan,2009–2011,Persons,137
NSW,10102,Queanbeyan,2009–2011,Males,181
NSW,10102,Queanbeyan,2009–2011,Females,91
NSW,10103,Snowy Mountains,2015–2017,Persons,113
NSW,10103,Snowy Mountains,2015–2017,Males,142
NSW,10103,Snowy Mountains,2015–2017,Females,82
NSW,10103,Snowy Mountains,2014–2016,Persons,117
NSW,10103,Snowy Mountains,2014–2016,Males,138
NSW,10103,Snowy Mountains,2014–2016,Females,93
NSW,10103,Snowy Mountains,2013–2015,Persons,126
NSW,10103,Snowy Mountains,2013–2015,Males,161
NSW,10103,Snowy Mountains,2013–2015,Females,88
NSW,10103,Snowy Mountains,2012–2014,Persons,116
NSW,10103,Snowy Mountains,2012–2014,Males,150
NSW,10103,Snowy Mountains,2012–2014,Females,77
NSW,10103,Snowy Mountains,2011–2013,Persons,104
NSW,10103,Snowy Mountains,2011–2013,Males,139
NSW,10103,Snowy Mountains,2011–2013,Females,65
NSW,10103,Snowy Mountains,2010–2012,Persons,103
NSW,10103,Snowy Mountains,2010–2012,Males,129
NSW,10103,Snowy Mountains,2010–2012,Females,74
NSW,10103,Snowy Mountains,2009–2011,Persons,110
NSW,10103,Snowy Mountains,2009–2011,Males,132
NSW,10103,Snowy Mountains,2009–2011,Females,86
NSW,10104,South Coast,2015–2017,Persons,141
NSW,10104,South Coast,2015–2017,Males,192
NSW,10104,South Coast,2015–2017,Females,92
NSW,10104,South Coast,2014–2016,Persons,129
NSW,10104,South Coast,2014–2016,Males,174
NSW,10104,South Coast,2014–2016,Females,87
NSW,10104,South Coast,2013–2015,Persons,114
NSW,10104,South Coast,2013–2015,Males,153
NSW,10104,South Coast,2013–2015,Females,76
NSW,10104,South Coast,2012–2014,Persons,116
NSW,10104,South Coast,2012–2014,Males,155
NSW,10104,South Coast,2012–2014,Females,78
NSW,10104,South Coast,2011–2013,Persons,123
NSW,10104,South Coast,2011–2013,Males,160
NSW,10104,South Coast,2011–2013,Females,86
NSW,10104,South Coast,2010–2012,Persons,129
NSW,10104,South Coast,2010–2012,Males,160
NSW,10104,South Coast,2010–2012,Females,98
NSW,10104,South Coast,2009–2011,Persons,125
NSW,10104,South Coast,2009–2011,Males,157
NSW,10104,South Coast,2009–2011,Females,94
NSW,10105,Goulburn - Mulwaree,2015–2017,Persons,118
NSW,10105,Goulburn - Mulwaree,2015–2017,Males,148
NSW,10105,Goulburn - Mulwaree,2015–2017,Females,87
NSW,10105,Goulburn - Mulwaree,2014–2016,Persons,136
NSW,10105,Goulburn - Mulwaree,2014–2016,Males,164
NSW,10105,Goulburn - Mulwaree,2014–2016,Females,108
NSW,10105,Goulburn - Mulwaree,2013–2015,Persons,146
NSW,10105,Goulburn - Mulwaree,2013–2015,Males,184
NSW,10105,Goulburn - Mulwaree,2013–2015,Females,107
NSW,10105,Goulburn - Mulwaree,2012–2014,Persons,159
NSW,10105,Goulburn - Mulwaree,2012–2014,Males,198
NSW,10105,Goulburn - Mulwaree,2012–2014,Females,118
NSW,10105,Goulburn - Mulwaree,2011–2013,Persons,151
NSW,10105,Goulburn - Mulwaree,2011–2013,Males,196
NSW,10105,Goulburn - Mulwaree,2011–2013,Females,103
NSW,10105,Goulburn - Mulwaree,2010–2012,Persons,163
NSW,10105,Goulburn - Mulwaree,2010–2012,Males,208
NSW,10105,Goulburn - Mulwaree,2010–2012,Females,116
NSW,10105,Goulburn - Mulwaree,2009–2011,Persons,162
NSW,10105,Goulburn - Mulwaree,2009–2011,Males,205
NSW,10105,Goulburn - Mulwaree,2009–2011,Females,118
NSW,10106,Young - Yass,2015–2017,Persons,131
NSW,10106,Young - Yass,2015–2017,Males,179
NSW,10106,Young - Yass,2015–2017,Females,85
NSW,10106,Young - Yass,2014–2016,Persons,134
NSW,10106,Young - Yass,2014–2016,Males,177
NSW,10106,Young - Yass,2014–2016,Females,92
NSW,10106,Young - Yass,2013–2015,Persons,141
NSW,10106,Young - Yass,2013–2015,Males,162
NSW,10106,Young - Yass,2013–2015,Females,121
NSW,10106,Young - Yass,2012–2014,Persons,121
NSW,10106,Young - Yass,2012–2014,Males,146
NSW,10106,Young - Yass,2012–2014,Females,97
NSW,10106,Young - Yass,2011–2013,Persons,127
NSW,10106,Young - Yass,2011–2013,Males,149
NSW,10106,Young - Yass,2011–2013,Females,102
NSW,10106,Young - Yass,2010–2012,Persons,109
NSW,10106,Young - Yass,2010–2012,Males,141
NSW,10106,Young - Yass,2010–2012,Females,76
NSW,10106,Young - Yass,2009–2011,Persons,127
NSW,10106,Young - Yass,2009–2011,Males,157
NSW,10106,Young - Yass,2009–2011,Females,95
NSW,10201,Gosford,2015–2017,Persons,111
NSW,10201,Gosford,2015–2017,Males,147
NSW,10201,Gosford,2015–2017,Females,76
NSW,10201,Gosford,2014–2016,Persons,116
NSW,10201,Gosford,2014–2016,Males,148
NSW,10201,Gosford,2014–2016,Females,86
NSW,10201,Gosford,2013–2015,Persons,115
NSW,10201,Gosford,2013–2015,Males,142
NSW,10201,Gosford,2013–2015,Females,90
NSW,10201,Gosford,2012–2014,Persons,110
NSW,10201,Gosford,2012–2014,Males,133
NSW,10201,Gosford,2012–2014,Females,89
NSW,10201,Gosford,2011–2013,Persons,110
NSW,10201,Gosford,2011–2013,Males,139
NSW,10201,Gosford,2011–2013,Females,83
NSW,10201,Gosford,2010–2012,Persons,115
NSW,10201,Gosford,2010–2012,Males,153
NSW,10201,Gosford,2010–2012,Females,80
NSW,10201,Gosford,2009–2011,Persons,121
NSW,10201,Gosford,2009–2011,Males,162
