State/territory,SA3 code,SA3 name,Year,Sex,Rate
NSW,10201,Gosford,2009–2011,Females,82
NSW,10202,Wyong,2015–2017,Persons,132
NSW,10202,Wyong,2015–2017,Males,178
NSW,10202,Wyong,2015–2017,Females,90
NSW,10202,Wyong,2014–2016,Persons,132
NSW,10202,Wyong,2014–2016,Males,178
NSW,10202,Wyong,2014–2016,Females,89
NSW,10202,Wyong,2013–2015,Persons,137
NSW,10202,Wyong,2013–2015,Males,178
NSW,10202,Wyong,2013–2015,Females,98
NSW,10202,Wyong,2012–2014,Persons,138
NSW,10202,Wyong,2012–2014,Males,179
NSW,10202,Wyong,2012–2014,Females,99
NSW,10202,Wyong,2011–2013,Persons,139
NSW,10202,Wyong,2011–2013,Males,180
NSW,10202,Wyong,2011–2013,Females,101
NSW,10202,Wyong,2010–2012,Persons,134
NSW,10202,Wyong,2010–2012,Males,176
NSW,10202,Wyong,2010–2012,Females,95
NSW,10202,Wyong,2009–2011,Persons,136
NSW,10202,Wyong,2009–2011,Males,174
NSW,10202,Wyong,2009–2011,Females,102
NSW,10301,Bathurst,2015–2017,Persons,134
NSW,10301,Bathurst,2015–2017,Males,174
NSW,10301,Bathurst,2015–2017,Females,94
NSW,10301,Bathurst,2014–2016,Persons,133
NSW,10301,Bathurst,2014–2016,Males,182
NSW,10301,Bathurst,2014–2016,Females,84
NSW,10301,Bathurst,2013–2015,Persons,123
NSW,10301,Bathurst,2013–2015,Males,165
NSW,10301,Bathurst,2013–2015,Females,80
NSW,10301,Bathurst,2012–2014,Persons,115
NSW,10301,Bathurst,2012–2014,Males,154
NSW,10301,Bathurst,2012–2014,Females,74
NSW,10301,Bathurst,2011–2013,Persons,124
NSW,10301,Bathurst,2011–2013,Males,160
NSW,10301,Bathurst,2011–2013,Females,85
NSW,10301,Bathurst,2010–2012,Persons,138
NSW,10301,Bathurst,2010–2012,Males,165
NSW,10301,Bathurst,2010–2012,Females,110
NSW,10301,Bathurst,2009–2011,Persons,137
NSW,10301,Bathurst,2009–2011,Males,161
NSW,10301,Bathurst,2009–2011,Females,112
NSW,10302,Lachlan Valley,2015–2017,Persons,167
NSW,10302,Lachlan Valley,2015–2017,Males,218
NSW,10302,Lachlan Valley,2015–2017,Females,115
NSW,10302,Lachlan Valley,2014–2016,Persons,171
NSW,10302,Lachlan Valley,2014–2016,Males,217
NSW,10302,Lachlan Valley,2014–2016,Females,124
NSW,10302,Lachlan Valley,2013–2015,Persons,157
NSW,10302,Lachlan Valley,2013–2015,Males,208
NSW,10302,Lachlan Valley,2013–2015,Females,105
NSW,10302,Lachlan Valley,2012–2014,Persons,150
NSW,10302,Lachlan Valley,2012–2014,Males,192
NSW,10302,Lachlan Valley,2012–2014,Females,107
NSW,10302,Lachlan Valley,2011–2013,Persons,151
NSW,10302,Lachlan Valley,2011–2013,Males,185
NSW,10302,Lachlan Valley,2011–2013,Females,115
NSW,10302,Lachlan Valley,2010–2012,Persons,157
NSW,10302,Lachlan Valley,2010–2012,Males,189
NSW,10302,Lachlan Valley,2010–2012,Females,125
NSW,10302,Lachlan Valley,2009–2011,Persons,165
NSW,10302,Lachlan Valley,2009–2011,Males,202
NSW,10302,Lachlan Valley,2009–2011,Females,128
NSW,10303,Lithgow - Mudgee,2015–2017,Persons,129
NSW,10303,Lithgow - Mudgee,2015–2017,Males,166
NSW,10303,Lithgow - Mudgee,2015–2017,Females,90
NSW,10303,Lithgow - Mudgee,2014–2016,Persons,136
NSW,10303,Lithgow - Mudgee,2014–2016,Males,175
NSW,10303,Lithgow - Mudgee,2014–2016,Females,96
NSW,10303,Lithgow - Mudgee,2013–2015,Persons,129
NSW,10303,Lithgow - Mudgee,2013–2015,Males,160
NSW,10303,Lithgow - Mudgee,2013–2015,Females,97
NSW,10303,Lithgow - Mudgee,2012–2014,Persons,137
NSW,10303,Lithgow - Mudgee,2012–2014,Males,178
NSW,10303,Lithgow - Mudgee,2012–2014,Females,95
NSW,10303,Lithgow - Mudgee,2011–2013,Persons,136
NSW,10303,Lithgow - Mudgee,2011–2013,Males,175
NSW,10303,Lithgow - Mudgee,2011–2013,Females,94
NSW,10303,Lithgow - Mudgee,2010–2012,Persons,141
NSW,10303,Lithgow - Mudgee,2010–2012,Males,184
NSW,10303,Lithgow - Mudgee,2010–2012,Females,96
NSW,10303,Lithgow - Mudgee,2009–2011,Persons,129
NSW,10303,Lithgow - Mudgee,2009–2011,Males,162
NSW,10303,Lithgow - Mudgee,2009–2011,Females,95
NSW,10304,Orange,2015–2017,Persons,128
NSW,10304,Orange,2015–2017,Males,175
NSW,10304,Orange,2015–2017,Females,83
NSW,10304,Orange,2014–2016,Persons,122
NSW,10304,Orange,2014–2016,Males,162
NSW,10304,Orange,2014–2016,Females,83
NSW,10304,Orange,2013–2015,Persons,128
NSW,10304,Orange,2013–2015,Males,164
NSW,10304,Orange,2013–2015,Females,94
NSW,10304,Orange,2012–2014,Persons,133
NSW,10304,Orange,2012–2014,Males,162
NSW,10304,Orange,2012–2014,Females,106
NSW,10304,Orange,2011–2013,Persons,144
NSW,10304,Orange,2011–2013,Males,172
NSW,10304,Orange,2011–2013,Females,116
NSW,10304,Orange,2010–2012,Persons,149
NSW,10304,Orange,2010–2012,Males,177
NSW,10304,Orange,2010–2012,Females,121
NSW,10304,Orange,2009–2011,Persons,143
NSW,10304,Orange,2009–2011,Males,177
NSW,10304,Orange,2009–2011,Females,110
NSW,10401,Clarence Valley,2015–2017,Persons,132
NSW,10401,Clarence Valley,2015–2017,Males,173
NSW,10401,Clarence Valley,2015–2017,Females,92
NSW,10401,Clarence Valley,2014–2016,Persons,128
NSW,10401,Clarence Valley,2014–2016,Males,169
NSW,10401,Clarence Valley,2014–2016,Females,88
NSW,10401,Clarence Valley,2013–2015,Persons,134
NSW,10401,Clarence Valley,2013–2015,Males,162
NSW,10401,Clarence Valley,2013–2015,Females,105
NSW,10401,Clarence Valley,2012–2014,Persons,129
NSW,10401,Clarence Valley,2012–2014,Males,170
NSW,10401,Clarence Valley,2012–2014,Females,89
NSW,10401,Clarence Valley,2011–2013,Persons,130
NSW,10401,Clarence Valley,2011–2013,Males,175
NSW,10401,Clarence Valley,2011–2013,Females,85
NSW,10401,Clarence Valley,2010–2012,Persons,121
NSW,10401,Clarence Valley,2010–2012,Males,175
NSW,10401,Clarence Valley,2010–2012,Females,68
NSW,10401,Clarence Valley,2009–2011,Persons,125
NSW,10401,Clarence Valley,2009–2011,Males,175
NSW,10401,Clarence Valley,2009–2011,Females,76
NSW,10402,Coffs Harbour,2015–2017,Persons,110
NSW,10402,Coffs Harbour,2015–2017,Males,155
NSW,10402,Coffs Harbour,2015–2017,Females,68
NSW,10402,Coffs Harbour,2014–2016,Persons,119
NSW,10402,Coffs Harbour,2014–2016,Males,166
NSW,10402,Coffs Harbour,2014–2016,Females,74
NSW,10402,Coffs Harbour,2013–2015,Persons,121
NSW,10402,Coffs Harbour,2013–2015,Males,163
NSW,10402,Coffs Harbour,2013–2015,Females,81
NSW,10402,Coffs Harbour,2012–2014,Persons,138
NSW,10402,Coffs Harbour,2012–2014,Males,187
NSW,10402,Coffs Harbour,2012–2014,Females,92
NSW,10402,Coffs Harbour,2011–2013,Persons,135
NSW,10402,Coffs Harbour,2011–2013,Males,172
NSW,10402,Coffs Harbour,2011–2013,Females,101
NSW,10402,Coffs Harbour,2010–2012,Persons,135
NSW,10402,Coffs Harbour,2010–2012,Males,180
NSW,10402,Coffs Harbour,2010–2012,Females,93
NSW,10402,Coffs Harbour,2009–2011,Persons,128
NSW,10402,Coffs Harbour,2009–2011,Males,175
NSW,10402,Coffs Harbour,2009–2011,Females,83
NSW,10501,Bourke - Cobar - Coonamble,2015–2017,Persons,243
NSW,10501,Bourke - Cobar - Coonamble,2015–2017,Males,293
NSW,10501,Bourke - Cobar - Coonamble,2015–2017,Females,189
NSW,10501,Bourke - Cobar - Coonamble,2014–2016,Persons,259
NSW,10501,Bourke - Cobar - Coonamble,2014–2016,Males,329
NSW,10501,Bourke - Cobar - Coonamble,2014–2016,Females,182
NSW,10501,Bourke - Cobar - Coonamble,2013–2015,Persons,267
NSW,10501,Bourke - Cobar - Coonamble,2013–2015,Males,336
NSW,10501,Bourke - Cobar - Coonamble,2013–2015,Females,191
NSW,10501,Bourke - Cobar - Coonamble,2012–2014,Persons,242
NSW,10501,Bourke - Cobar - Coonamble,2012–2014,Males,294
NSW,10501,Bourke - Cobar - Coonamble,2012–2014,Females,183
NSW,10501,Bourke - Cobar - Coonamble,2011–2013,Persons,232
NSW,10501,Bourke - Cobar - Coonamble,2011–2013,Males,288
NSW,10501,Bourke - Cobar - Coonamble,2011–2013,Females,169
NSW,10501,Bourke - Cobar - Coonamble,2010–2012,Persons,201
NSW,10501,Bourke - Cobar - Coonamble,2010–2012,Males,258
NSW,10501,Bourke - Cobar - Coonamble,2010–2012,Females,136
NSW,10501,Bourke - Cobar - Coonamble,2009–2011,Persons,191
NSW,10501,Bourke - Cobar - Coonamble,2009–2011,Males,265
NSW,10501,Bourke - Cobar - Coonamble,2009–2011,Females,107
NSW,10502,Broken Hill and Far West,2015–2017,Persons,196
NSW,10502,Broken Hill and Far West,2015–2017,Males,269
NSW,10502,Broken Hill and Far West,2015–2017,Females,121
NSW,10502,Broken Hill and Far West,2014–2016,Persons,196
NSW,10502,Broken Hill and Far West,2014–2016,Males,250
NSW,10502,Broken Hill and Far West,2014–2016,Females,141
NSW,10502,Broken Hill and Far West,2013–2015,Persons,173
NSW,10502,Broken Hill and Far West,2013–2015,Males,209
NSW,10502,Broken Hill and Far West,2013–2015,Females,137
NSW,10502,Broken Hill and Far West,2012–2014,Persons,186
NSW,10502,Broken Hill and Far West,2012–2014,Males,225
NSW,10502,Broken Hill and Far West,2012–2014,Females,146
NSW,10502,Broken Hill and Far West,2011–2013,Persons,172
NSW,10502,Broken Hill and Far West,2011–2013,Males,210
NSW,10502,Broken Hill and Far West,2011–2013,Females,135
NSW,10502,Broken Hill and Far West,2010–2012,Persons,185
NSW,10502,Broken Hill and Far West,2010–2012,Males,242
NSW,10502,Broken Hill and Far West,2010–2012,Females,129
NSW,10502,Broken Hill and Far West,2009–2011,Persons,177
NSW,10502,Broken Hill and Far West,2009–2011,Males,242
NSW,10502,Broken Hill and Far West,2009–2011,Females,113
NSW,10503,Dubbo,2015–2017,Persons,145
NSW,10503,Dubbo,2015–2017,Males,183
NSW,10503,Dubbo,2015–2017,Females,107
NSW,10503,Dubbo,2014–2016,Persons,150
NSW,10503,Dubbo,2014–2016,Males,191
NSW,10503,Dubbo,2014–2016,Females,110
NSW,10503,Dubbo,2013–2015,Persons,157
NSW,10503,Dubbo,2013–2015,Males,201
NSW,10503,Dubbo,2013–2015,Females,114
NSW,10503,Dubbo,2012–2014,Persons,152
NSW,10503,Dubbo,2012–2014,Males,183
NSW,10503,Dubbo,2012–2014,Females,121
NSW,10503,Dubbo,2011–2013,Persons,150
NSW,10503,Dubbo,2011–2013,Males,184
NSW,10503,Dubbo,2011–2013,Females,117
NSW,10503,Dubbo,2010–2012,Persons,142
NSW,10503,Dubbo,2010–2012,Males,176
NSW,10503,Dubbo,2010–2012,Females,109
NSW,10503,Dubbo,2009–2011,Persons,149
NSW,10503,Dubbo,2009–2011,Males,193
NSW,10503,Dubbo,2009–2011,Females,105
NSW,10601,Lower Hunter,2015–2017,Persons,124
NSW,10601,Lower Hunter,2015–2017,Males,146
NSW,10601,Lower Hunter,2015–2017,Females,102
NSW,10601,Lower Hunter,2014–2016,Persons,130
NSW,10601,Lower Hunter,2014–2016,Males,154
NSW,10601,Lower Hunter,2014–2016,Females,106
NSW,10601,Lower Hunter,2013–2015,Persons,129
NSW,10601,Lower Hunter,2013–2015,Males,157
NSW,10601,Lower Hunter,2013–2015,Females,101
NSW,10601,Lower Hunter,2012–2014,Persons,130
NSW,10601,Lower Hunter,2012–2014,Males,160
NSW,10601,Lower Hunter,2012–2014,Females,100
NSW,10601,Lower Hunter,2011–2013,Persons,136
NSW,10601,Lower Hunter,2011–2013,Males,167
NSW,10601,Lower Hunter,2011–2013,Females,103
NSW,10601,Lower Hunter,2010–2012,Persons,145
NSW,10601,Lower Hunter,2010–2012,Males,183
NSW,10601,Lower Hunter,2010–2012,Females,105
NSW,10601,Lower Hunter,2009–2011,Persons,153
NSW,10601,Lower Hunter,2009–2011,Males,192
NSW,10601,Lower Hunter,2009–2011,Females,112
NSW,10602,Maitland,2015–2017,Persons,117
NSW,10602,Maitland,2015–2017,Males,145
NSW,10602,Maitland,2015–2017,Females,90
NSW,10602,Maitland,2014–2016,Persons,115
NSW,10602,Maitland,2014–2016,Males,141
NSW,10602,Maitland,2014–2016,Females,89
NSW,10602,Maitland,2013–2015,Persons,115
NSW,10602,Maitland,2013–2015,Males,152
NSW,10602,Maitland,2013–2015,Females,79
NSW,10602,Maitland,2012–2014,Persons,105
NSW,10602,Maitland,2012–2014,Males,135
NSW,10602,Maitland,2012–2014,Females,76
NSW,10602,Maitland,2011–2013,Persons,105
NSW,10602,Maitland,2011–2013,Males,127
NSW,10602,Maitland,2011–2013,Females,85
NSW,10602,Maitland,2010–2012,Persons,109
NSW,10602,Maitland,2010–2012,Males,122
NSW,10602,Maitland,2010–2012,Females,98
NSW,10602,Maitland,2009–2011,Persons,120
NSW,10602,Maitland,2009–2011,Males,147
NSW,10602,Maitland,2009–2011,Females,93
NSW,10603,Port Stephens,2015–2017,Persons,120
NSW,10603,Port Stephens,2015–2017,Males,153
NSW,10603,Port Stephens,2015–2017,Females,87
NSW,10603,Port Stephens,2014–2016,Persons,132
NSW,10603,Port Stephens,2014–2016,Males,168
NSW,10603,Port Stephens,2014–2016,Females,97
NSW,10603,Port Stephens,2013–2015,Persons,124
NSW,10603,Port Stephens,2013–2015,Males,161
NSW,10603,Port Stephens,2013–2015,Females,87
NSW,10603,Port Stephens,2012–2014,Persons,128
NSW,10603,Port Stephens,2012–2014,Males,161
NSW,10603,Port Stephens,2012–2014,Females,94
NSW,10603,Port Stephens,2011–2013,Persons,115
NSW,10603,Port Stephens,2011–2013,Males,154
NSW,10603,Port Stephens,2011–2013,Females,77
NSW,10603,Port Stephens,2010–2012,Persons,127
NSW,10603,Port Stephens,2010–2012,Males,166
NSW,10603,Port Stephens,2010–2012,Females,87
NSW,10603,Port Stephens,2009–2011,Persons,129
NSW,10603,Port Stephens,2009–2011,Males,172
NSW,10603,Port Stephens,2009–2011,Females,85
NSW,10604,Upper Hunter,2015–2017,Persons,142
NSW,10604,Upper Hunter,2015–2017,Males,185
NSW,10604,Upper Hunter,2015–2017,Females,96
NSW,10604,Upper Hunter,2014–2016,Persons,133
NSW,10604,Upper Hunter,2014–2016,Males,164
NSW,10604,Upper Hunter,2014–2016,Females,100
NSW,10604,Upper Hunter,2013–2015,Persons,116
NSW,10604,Upper Hunter,2013–2015,Males,150
NSW,10604,Upper Hunter,2013–2015,Females,80
NSW,10604,Upper Hunter,2012–2014,Persons,142
NSW,10604,Upper Hunter,2012–2014,Males,185
NSW,10604,Upper Hunter,2012–2014,Females,97
NSW,10604,Upper Hunter,2011–2013,Persons,146
NSW,10604,Upper Hunter,2011–2013,Males,189
NSW,10604,Upper Hunter,2011–2013,Females,101
NSW,10604,Upper Hunter,2010–2012,Persons,148
NSW,10604,Upper Hunter,2010–2012,Males,178
NSW,10604,Upper Hunter,2010–2012,Females,118
NSW,10604,Upper Hunter,2009–2011,Persons,147
NSW,10604,Upper Hunter,2009–2011,Males,182
NSW,10604,Upper Hunter,2009–2011,Females,111
NSW,10701,Dapto - Port Kembla,2015–2017,Persons,127
NSW,10701,Dapto - Port Kembla,2015–2017,Males,163
NSW,10701,Dapto - Port Kembla,2015–2017,Females,93
NSW,10701,Dapto - Port Kembla,2014–2016,Persons,125
NSW,10701,Dapto - Port Kembla,2014–2016,Males,160
NSW,10701,Dapto - Port Kembla,2014–2016,Females,92
NSW,10701,Dapto - Port Kembla,2013–2015,Persons,127
NSW,10701,Dapto - Port Kembla,2013–2015,Males,168
NSW,10701,Dapto - Port Kembla,2013–2015,Females,87
NSW,10701,Dapto - Port Kembla,2012–2014,Persons,125
NSW,10701,Dapto - Port Kembla,2012–2014,Males,158
NSW,10701,Dapto - Port Kembla,2012–2014,Females,94
NSW,10701,Dapto - Port Kembla,2011–2013,Persons,129
NSW,10701,Dapto - Port Kembla,2011–2013,Males,163
NSW,10701,Dapto - Port Kembla,2011–2013,Females,96
NSW,10701,Dapto - Port Kembla,2010–2012,Persons,123
NSW,10701,Dapto - Port Kembla,2010–2012,Males,155
NSW,10701,Dapto - Port Kembla,2010–2012,Females,93
NSW,10701,Dapto - Port Kembla,2009–2011,Persons,125
NSW,10701,Dapto - Port Kembla,2009–2011,Males,150
NSW,10701,Dapto - Port Kembla,2009–2011,Females,100
NSW,10702,Illawarra Catchment Reserve,2015–2017,Persons,NP
NSW,10702,Illawarra Catchment Reserve,2015–2017,Males,NP
NSW,10702,Illawarra Catchment Reserve,2015–2017,Females,NP
NSW,10702,Illawarra Catchment Reserve,2014–2016,Persons,NP
NSW,10702,Illawarra Catchment Reserve,2014–2016,Males,NP
NSW,10702,Illawarra Catchment Reserve,2014–2016,Females,NP
NSW,10702,Illawarra Catchment Reserve,2013–2015,Persons,NP
NSW,10702,Illawarra Catchment Reserve,2013–2015,Males,NP
NSW,10702,Illawarra Catchment Reserve,2013–2015,Females,NP
NSW,10702,Illawarra Catchment Reserve,2012–2014,Persons,NP
NSW,10702,Illawarra Catchment Reserve,2012–2014,Males,NP
NSW,10702,Illawarra Catchment Reserve,2012–2014,Females,NP
NSW,10702,Illawarra Catchment Reserve,2011–2013,Persons,NP
NSW,10702,Illawarra Catchment Reserve,2011–2013,Males,NP
NSW,10702,Illawarra Catchment Reserve,2011–2013,Females,NP
NSW,10702,Illawarra Catchment Reserve,2010–2012,Persons,NP
NSW,10702,Illawarra Catchment Reserve,2010–2012,Males,NP
NSW,10702,Illawarra Catchment Reserve,2010–2012,Females,NP
NSW,10702,Illawarra Catchment Reserve,2009–2011,Persons,NP
NSW,10702,Illawarra Catchment Reserve,2009–2011,Males,NP
NSW,10702,Illawarra Catchment Reserve,2009–2011,Females,NP
NSW,10703,Kiama - Shellharbour,2015–2017,Persons,104
NSW,10703,Kiama - Shellharbour,2015–2017,Males,123
NSW,10703,Kiama - Shellharbour,2015–2017,Females,85
NSW,10703,Kiama - Shellharbour,2014–2016,Persons,107
NSW,10703,Kiama - Shellharbour,2014–2016,Males,132
NSW,10703,Kiama - Shellharbour,2014–2016,Females,84
NSW,10703,Kiama - Shellharbour,2013–2015,Persons,93
NSW,10703,Kiama - Shellharbour,2013–2015,Males,121
NSW,10703,Kiama - Shellharbour,2013–2015,Females,66
NSW,10703,Kiama - Shellharbour,2012–2014,Persons,93
NSW,10703,Kiama - Shellharbour,2012–2014,Males,119
NSW,10703,Kiama - Shellharbour,2012–2014,Females,69
NSW,10703,Kiama - Shellharbour,2011–2013,Persons,96
NSW,10703,Kiama - Shellharbour,2011–2013,Males,123
NSW,10703,Kiama - Shellharbour,2011–2013,Females,70
NSW,10703,Kiama - Shellharbour,2010–2012,Persons,106
NSW,10703,Kiama - Shellharbour,2010–2012,Males,134
NSW,10703,Kiama - Shellharbour,2010–2012,Females,80
NSW,10703,Kiama - Shellharbour,2009–2011,Persons,104
NSW,10703,Kiama - Shellharbour,2009–2011,Males,126
NSW,10703,Kiama - Shellharbour,2009–2011,Females,84
NSW,10704,Wollongong,2015–2017,Persons,100
NSW,10704,Wollongong,2015–2017,Males,128
NSW,10704,Wollongong,2015–2017,Females,73
NSW,10704,Wollongong,2014–2016,Persons,101
NSW,10704,Wollongong,2014–2016,Males,124
NSW,10704,Wollongong,2014–2016,Females,78
NSW,10704,Wollongong,2013–2015,Persons,103
NSW,10704,Wollongong,2013–2015,Males,128
NSW,10704,Wollongong,2013–2015,Females,79
NSW,10704,Wollongong,2012–2014,Persons,93
NSW,10704,Wollongong,2012–2014,Males,119
NSW,10704,Wollongong,2012–2014,Females,67
NSW,10704,Wollongong,2011–2013,Persons,100
NSW,10704,Wollongong,2011–2013,Males,137
NSW,10704,Wollongong,2011–2013,Females,65
NSW,10704,Wollongong,2010–2012,Persons,102
NSW,10704,Wollongong,2010–2012,Males,143
NSW,10704,Wollongong,2010–2012,Females,63
NSW,10704,Wollongong,2009–2011,Persons,112
