region,uni,Postgraduate Degree Level,Graduate Diploma and Graduate Certificate Level,Bachelor Degree Level,Advanced Diploma and Diploma Level,Certificate III & IV Level,Secondary Education - Years 10 and above,Certificate I & II Level,Secondary Education - Years 9 and below
Queanbeyan,0.294476769182264,2702,1284,6288,4401,7401,10902,46,1865
Snowy Mountains,0.198278181329029,365,220,1626,1265,3149,3692,13,821
South Coast,0.191402603782854,1267,1162,5363,4515,10826,13833,84,3660
Goulburn - Mulwaree,0.158485061865004,568,392,2191,2308,5388,6950,35,2050
Young - Yass,0.219579455360221,858,519,3082,2189,4862,7018,28,1751
Gosford,0.237295899670182,4293,2246,16772,12986,23972,31850,127,5990
Wyong,0.134792678038569,1746,1184,9176,9864,25566,33479,167,8630
Bathurst,0.216138440598872,967,684,3907,2731,6832,8624,37,1933
Lachlan Valley,0.133337894232743,419,410,3069,2540,7538,11413,64,3781
Lithgow - Mudgee,0.138898742658941,476,402,2646,2336,7281,9187,51,2992
Orange,0.22573978393612,1285,733,5191,3553,8198,10089,59,2827
Clarence Valley,0.138867089962189,538,463,2892,2737,7840,10273,81,3210
Coffs Harbour,0.209443912769033,1477,1121,7688,5970,12523,16219,102,4011
Bourke - Cobar - Coonamble,0.130369432798038,185,151,1312,1027,2702,5248,34,1982
Broken Hill and Far West,0.118837026009283,206,189,962,873,2947,4260,32,1950
Dubbo,0.177144372265677,949,694,5038,3548,9884,13599,76,3927
Lower Hunter,0.117546540147159,842,603,4402,4534,15526,17713,112,6010
Maitland,0.168083444378073,1210,754,5352,4902,12618,14700,82,3908
Port Stephens,0.148862075730822,1004,634,4432,4836,12094,13905,78,3793
Upper Hunter,0.123281915851389,274,182,1598,1452,4954,6169,31,2001
Dapto - Port Kembla,0.155678079970347,1286,677,4757,4716,11739,15208,72,4711
Illawarra Catchment Reserve,0,0,0,0,0,0,0,0,0
Kiama - Shellharbour,0.185247726138849,1726,1093,6835,6432,14595,16921,64,4448
Wollongong,0.329481557905597,6602,2342,16604,9502,16149,21950,95,4296
Great Lakes,0.134059440356874,340,264,1710,1839,4772,6131,39,2166
Kempsey - Nambucca,0.13042654028436,431,404,2605,2468,7353,9493,91,3530
Lord Howe Island,0.239234449760766,3,0,47,15,76,68,0,0
Port Macquarie,0.185633373518641,1288,924,5949,5360,11965,14662,100,3715
Taree - Gloucester,0.136067967609186,561,519,3020,3166,8181,10736,79,3870
Albury,0.20788888255091,1136,926,5227,3962,9290,11646,80,2795
Lower Murray,0.119103086779266,85,105,628,595,1638,2770,12,1035
Upper Murray exc. Albury,0.134672102706454,339,355,2411,2194,6019,8909,45,2784
Armidale,0.300677287036154,1829,673,3802,2104,4249,6819,17,1473
Inverell - Tenterfield,0.125959762853533,254,286,2052,1885,5211,8010,44,2836
Moree - Narrabri,0.147551830613145,235,201,1571,1200,3135,5425,6,1829
Tamworth - Gunnedah,0.16087568696916,974,758,5352,4481,11663,15985,117,4704
Lake Macquarie - East,0.225334119496855,2732,1589,11730,8264,18730,22286,116,5785
Lake Macquarie - West,0.170384519180481,1396,736,5361,4948,12762,14492,53,4229
Newcastle,0.296910390539971,6537,2486,21258,11092,21807,31840,126,6841
Richmond Valley - Coastal,0.278753869107266,2113,1323,9082,5881,10487,13467,62,2492
Richmond Valley - Hinterland,0.193154342131775,1142,905,5622,3982,10164,14057,80,3752
Tweed Valley,0.187649379165614,1463,1083,7111,6180,13229,18340,82,3975
Griffith - Murrumbidgee (West),0.144496404291272,453,345,2879,2093,6295,10207,43,3132
Tumut - Tumbarumba,0.137274803349404,123,134,825,754,2086,2986,15,959
Wagga Wagga,0.19582280419634,1642,1025,7562,5093,13809,18379,95,4631
Shoalhaven,0.167133004223771,1654,1241,6483,6417,15999,18450,133,5734
Southern Highlands,0.268205510052122,1602,788,4814,3531,6387,8129,32,1577
Baulkham Hills,0.461242924932823,10958,2629,26751,11814,10804,22416,15,2068
Dural - Wisemans Ferry,0.318014946899174,1033,366,3452,2127,3285,4362,0,629
Hawkesbury,0.19626040671489,541,337,1998,1924,4441,4436,14,963
Rouse Hill - McGraths Hill,0.305289205072688,1305,406,4211,2621,4253,5791,9,802
Blacktown,0.291701137219554,6034,1253,16337,9407,13788,27981,115,6072
Blacktown - North,0.381695980128943,5552,1167,14180,6910,8903,15773,29,2239
Mount Druitt,0.205639648044783,2580,576,9628,6166,11023,25350,118,6726
Botany,0.357422077697444,2816,506,7010,3371,4197,9349,16,1642
Marrickville - Sydenham - Petersham,0.489341907237652,4715,1355,11813,3975,3835,9132,22,1698
Sydney Inner City,0.563819970627607,24381,4564,57819,16215,10739,37018,49,3101
Eastern Suburbs - North,0.607935337925425,12338,2656,32842,8708,5565,15819,7,751
Eastern Suburbs - South,0.495724269161504,12385,2511,28871,9373,9477,23363,32,2277
Bankstown,0.241020892292326,5004,1267,16894,11103,15530,37771,82,8461
Canterbury,0.297109782275376,6061,1124,16068,9036,9713,28978,48,7236
Hurstville,0.385117560055082,8282,1560,20362,9428,9429,25162,34,4171
Kogarah - Rockdale,0.375638305313965,8451,1577,22192,10831,10735,27246,38,4704
Canada Bay,0.484402654867257,7511,1651,17112,6580,5919,13569,30,1868
Leichhardt,0.580060422960725,6135,1647,13338,4044,3114,7350,0,782
Strathfield - Burwood - Ashfield,0.482932328536172,13614,2815,31121,10889,8957,27136,34,3895
Chatswood - Lane Cove,0.607167138810198,12694,2603,27569,7653,4522,14470,7,1082
Hornsby,0.477545947267615,6578,1780,15079,6473,6442,11631,7,1088
Ku-ring-gai,0.621451660299736,12639,2726,26931,7572,3958,13564,3,667
North Sydney - Mosman,0.640994125909845,11544,2643,25970,7195,3696,11144,7,449
Manly,0.578120184899846,3763,995,10250,3264,2239,5167,14,268
Pittwater,0.370809068807599,2772,1078,9267,5636,6440,9520,14,647
Warringah,0.395656611476525,7581,2655,24653,13031,14778,23036,68,2378
Camden,0.208251419833989,1401,728,5498,4879,9501,12442,43,2132
Campbelltown (NSW),0.20196731885616,4613,1200,12974,10211,19733,36121,189,7979
Wollondilly,0.164831470118517,772,412,2738,2834,7300,7927,39,1772
Blue Mountains,0.350815800772864,3974,1950,10417,6680,9754,12152,14,1639
Blue Mountains - South,0,0,0,0,0,0,0,0,0
Penrith,0.187481997119539,3417,1271,10933,9457,20911,30922,114,6295
Richmond - Windsor,0.146696582012603,600,306,2167,2241,5939,7634,17,2044
St Marys,0.144851386643452,888,297,3474,3135,7631,13610,44,3085
Auburn,0.346181443526576,5011,800,13005,5898,4823,20086,55,4675
Carlingford,0.417461500248386,4741,950,11116,4959,5002,11805,27,1660
Merrylands - Guildford,0.23295387449517,4457,970,14300,9619,12800,33577,120,8839
Parramatta,0.479549938064871,13754,2085,25972,9687,9399,22646,44,3601
Pennant Hills - Epping,0.58369503044985,5600,1129,10619,3256,2159,6526,6,426
Ryde - Hunters Hill,0.505349099099099,13067,2290,27723,9862,8450,21379,28,2449
Bringelly - Green Valley,0.185329603077461,1827,569,8203,6637,11188,22849,78,5839
Fairfield,0.15983781274572,2405,725,13742,10510,15344,46378,195,16258
