Australian Bureau of Statistics

"2016 Census - Employment, Income and Education"
"SA3 (UR) by HEAP - 1 Digit Level"
"Counting: Persons Place of Usual Residence"

Filters:
"Default Summation","Persons Place of Usual Residence"

"HEAP - 1 Digit Level","Postgraduate Degree Level","Graduate Diploma and Graduate Certificate Level","Bachelor Degree Level","Advanced Diploma and Diploma Level","Certificate III & IV Level","Secondary Education - Years 10 and above","Certificate I & II Level","Secondary Education - Years 9 and below","Supplementary Codes","Not stated","Not applicable","Total",
"Strathfield - Burwood - Ashfield",13837,2886,31904,11424,9844,35207,41,8187,5348,11336,21863,151870,
"Chatswood - Lane Cove",13066,2714,28647,8423,5044,20515,17,3341,3073,6206,21191,112244,
"Hornsby",6758,1842,15685,6927,7103,16423,26,2801,2665,3928,16446,80603,
"Ku-ring-gai",13339,2939,28949,9005,4620,22702,10,3600,3460,5795,23947,118372,
"North Sydney - Mosman",12017,2744,27214,7948,4022,15026,17,1618,2511,7628,13392,94139,
"Manly",3878,1035,10594,3562,2483,7236,13,986,1210,3022,7879,41892,
"Pittwater",2923,1145,9850,6194,7114,13294,25,1984,2089,4085,11751,60439,
"Warringah",7807,2762,25655,14075,16269,32460,83,6161,5246,9798,30223,150545,
"Camden",1421,743,5599,5030,10017,16089,42,3692,1599,3285,14995,62514,
"Campbelltown (NSW)",4674,1210,13216,10530,20924,45195,184,11427,5100,11924,34010,158398,
"Wollondilly",798,415,2824,2955,7786,10221,39,2786,1142,3216,8981,41153,
"Blue Mountains",4179,2027,11010,7349,10629,16573,45,3559,2397,4887,14047,76697,
"Blue Mountains - South",0,0,0,0,0,0,0,0,0,0,0,5,
"Penrith",3464,1288,11182,9783,22089,38626,116,9929,3823,9363,30035,139688,
"Richmond - Windsor",620,309,2258,2356,6321,9853,30,3157,995,3720,6930,36547,
"St Marys",901,308,3523,3216,7997,16626,46,4309,1627,4326,11131,53995,
"Auburn",5042,825,13202,6068,5158,24451,57,6117,4761,8333,15651,89670,
"Carlingford",4833,985,11523,5323,5602,16188,26,3267,2456,3651,12720,66573,
"Merrylands - Guildford",4505,996,14582,9970,13827,42310,126,12652,7347,12209,32740,151259,
"Parramatta",13854,2137,26482,10142,10262,29059,53,6420,4732,10375,27365,140890,
