region,rate,uni
Queanbeyan (NSW),119.0,0.294476769182264
Snowy Mountains (NSW),113.0,0.19827818132902897
South Coast (NSW),141.0,0.19140260378285398
Goulburn - Mulwaree (NSW),118.0,0.158485061865004
Young - Yass (NSW),131.0,0.219579455360221
Gosford (NSW),111.0,0.23729589967018203
Wyong (NSW),132.0,0.134792678038569
Bathurst (NSW),134.0,0.21613844059887197
Lachlan Valley (NSW),167.0,0.133337894232743
Lithgow - Mudgee (NSW),129.0,0.138898742658941
Orange (NSW),128.0,0.22573978393612001
Clarence Valley (NSW),132.0,0.138867089962189
Coffs Harbour (NSW),110.0,0.209443912769033
Bourke - Cobar - Coonamble (NSW),243.0,0.130369432798038
Broken Hill and Far West (NSW),196.0,0.118837026009283
Dubbo (NSW),145.0,0.177144372265677
Lower Hunter (NSW),124.0,0.11754654014715898
Maitland (NSW),117.0,0.168083444378073
Port Stephens (NSW),120.0,0.148862075730822
Upper Hunter (NSW),142.0,0.123281915851389
Dapto - Port Kembla (NSW),127.0,0.155678079970347
Kiama - Shellharbour (NSW),104.0,0.185247726138849
Wollongong (NSW),100.0,0.32948155790559697
Great Lakes (NSW),126.0,0.134059440356874
Kempsey - Nambucca (NSW),153.0,0.13042654028436
Port Macquarie (NSW),106.0,0.18563337351864104
Taree - Gloucester (NSW),167.0,0.136067967609186
Albury (NSW),112.0,0.20788888255091
Lower Murray (NSW),182.0,0.119103086779266
Upper Murray exc. Albury (NSW),148.0,0.134672102706454
Armidale (NSW),129.0,0.300677287036154
Inverell - Tenterfield (NSW),148.0,0.125959762853533
Moree - Narrabri (NSW),163.0,0.147551830613145
Tamworth - Gunnedah (NSW),149.0,0.16087568696916002
Lake Macquarie - East (NSW),108.0,0.22533411949685503
Lake Macquarie - West (NSW),126.0,0.17038451918048098
Newcastle (NSW),134.0,0.296910390539971
Richmond Valley - Coastal (NSW),107.0,0.278753869107266
Richmond Valley - Hinterland (NSW),144.0,0.193154342131775
Tweed Valley (NSW),119.0,0.187649379165614
Griffith - Murrumbidgee (West) (NSW),129.0,0.144496404291272
Tumut - Tumbarumba (NSW),146.0,0.137274803349404
Wagga Wagga (NSW),122.0,0.19582280419634
Shoalhaven (NSW),125.0,0.167133004223771
Southern Highlands (NSW),96.0,0.268205510052122
Baulkham Hills (NSW),57.0,0.46124292493282304
Dural - Wisemans Ferry (NSW),62.0,0.318014946899174
Hawkesbury (NSW),99.0,0.19626040671489
Rouse Hill - McGraths Hill (NSW),69.0,0.305289205072688
Blacktown (NSW),125.0,0.291701137219554
Blacktown - North (NSW),88.0,0.381695980128943
Mount Druitt (NSW),152.0,0.20563964804478302
Botany (NSW),114.0,0.35742207769744394
Marrickville - Sydenham - Petersham (NSW),97.0,0.48934190723765203
Sydney Inner City (NSW),102.0,0.563819970627607
Eastern Suburbs - North (NSW),63.0,0.607935337925425
Eastern Suburbs - South (NSW),80.0,0.49572426916150397
Bankstown (NSW),99.0,0.241020892292326
Canterbury (NSW),88.0,0.29710978227537604
Hurstville (NSW),74.0,0.3851175600550821
Kogarah - Rockdale (NSW),82.0,0.375638305313965
Canada Bay (NSW),58.0,0.48440265486725703
Leichhardt (NSW),66.0,0.580060422960725
Strathfield - Burwood - Ashfield (NSW),79.0,0.4829323285361721
Chatswood - Lane Cove (NSW),53.0,0.607167138810198
Hornsby (NSW),62.0,0.47754594726761496
Ku-ring-gai (NSW),52.0,0.621451660299736
North Sydney - Mosman (NSW),53.0,0.640994125909845
Manly (NSW),48.0,0.5781201848998461
Pittwater (NSW),65.0,0.370809068807599
Warringah (NSW),68.0,0.395656611476525
Camden (NSW),84.0,0.20825141983398898
Campbelltown (NSW) (NSW),128.0,0.20196731885616
Wollondilly (NSW),104.0,0.164831470118517
Blue Mountains (NSW),90.0,0.350815800772864
Penrith (NSW),116.0,0.18748199711953897
Richmond - Windsor (NSW),115.0,0.146696582012603
St Marys (NSW),137.0,0.14485138664345198
Auburn (NSW),75.0,0.34618144352657604
Carlingford (NSW),84.0,0.41746150024838596
Merrylands - Guildford (NSW),110.0,0.23295387449517
Parramatta (NSW),96.0,0.47954993806487106
Pennant Hills - Epping (NSW),57.0,0.5836950304498499
Ryde - Hunters Hill (NSW),65.0,0.505349099099099
Bringelly - Green Valley (NSW),91.0,0.18532960307746102
Fairfield (NSW),91.0,0.15983781274572
Liverpool (NSW),101.0,0.243294640276278
Cronulla - Miranda - Caringbah (NSW),78.0,0.30813810867165503
Sutherland - Menai - Heathcote (NSW),68.0,0.30588451018443497
Ballarat (Vic),119.0,0.249566611062048
Creswick - Daylesford - Ballan (Vic),109.0,0.236146581932648
Maryborough - Pyrenees (Vic),156.0,0.12179576001108501
Bendigo (Vic),127.0,0.225303324658187
Heathcote - Castlemaine - Kyneton (Vic),97.0,0.286546920821114
Loddon - Elmore (Vic),127.0,0.135854341736695
Barwon - West (Vic),94.0,0.20663082437276
Geelong (Vic),118.0,0.24537999693950102
Surf Coast - Bellarine Peninsula (Vic),75.0,0.31123314792118395
Upper Goulburn Valley (Vic),113.0,0.162403678041831
Wangaratta - Benalla (Vic),135.0,0.18234442836468898
Wodonga - Alpine (Vic),109.0,0.195278337345846
Baw Baw (Vic),93.0,0.187214285714286
Gippsland - East (Vic),141.0,0.15370790028913
Gippsland - South West (Vic),98.0,0.17726320557096803
Latrobe Valley (Vic),145.0,0.148035536129982
Wellington (Vic),130.0,0.16067225502746
Brunswick - Coburg (Vic),85.0,0.514241176570257
Darebin - South (Vic),69.0,0.5537119699283449
Essendon (Vic),84.0,0.481690074465077
Melbourne City (Vic),91.0,0.583388794143338
Port Phillip (Vic),99.0,0.5447478630026961
Stonnington - West (Vic),65.0,0.591083182349838
Yarra (Vic),84.0,0.5941242061375871
Boroondara (Vic),55.0,0.5966567106657671
Manningham - West (Vic),56.0,0.43631406561636604
Whitehorse - West (Vic),65.0,0.482599414973516
Bayside (Vic),62.0,0.510485844110451
Glen Eira (Vic),74.0,0.516266937962682
Kingston (Vic),85.0,0.33990771481627396
Stonnington - East (Vic),57.0,0.590813235688816
Banyule (Vic),82.0,0.409494839472391
Darebin - North (Vic),116.0,0.361656674247123
Nillumbik - Kinglake (Vic),72.0,0.34364836897605205
Whittlesea - Wallan (Vic),82.0,0.227552951709298
Keilor (Vic),70.0,0.30438533429187603
Macedon Ranges (Vic),73.0,0.27011691884456696
Moreland - North (Vic),103.0,0.33764275925079906
Sunbury (Vic),109.0,0.18826630957860802
Tullamarine - Broadmeadows (Vic),107.0,0.19756908736844397
Knox (Vic),88.0,0.28579087918999396
Manningham - East (Vic),72.0,0.402489626556017
Maroondah (Vic),91.0,0.309743042272734
Whitehorse - East (Vic),60.0,0.43468727438029797
Yarra Ranges (Vic),89.0,0.21905755711775002
Cardinia (Vic),82.0,0.177999197050987
Casey - North (Vic),90.0,0.233421340717367
Casey - South (Vic),89.0,0.202920526774957
Dandenong (Vic),103.0,0.242869371994754
Monash (Vic),71.0,0.45551713007792705
Brimbank (Vic),103.0,0.215929091140021
Hobsons Bay (Vic),94.0,0.34802815805849396
Maribyrnong (Vic),108.0,0.43461180413330897
Melton - Bacchus Marsh (Vic),103.0,0.205672141985934
Wyndham (Vic),95.0,0.309168116630769
Frankston (Vic),113.0,0.19026592577892396
Mornington Peninsula (Vic),89.0,0.227947754517803
Grampians (Vic),122.0,0.15199275362318804
Mildura (Vic),136.0,0.147937745806582
Murray River - Swan Hill (Vic),139.0,0.128695477588717
Campaspe (Vic),133.0,0.139018410806134
Moira (Vic),128.0,0.122248624312156
Shepparton (Vic),117.0,0.173258272846774
Glenelg - Southern Grampians (Vic),138.0,0.15172278778386802
Colac - Corangamite (Vic),127.0,0.153849844087311
Warrnambool (Vic),116.0,0.20625195808821
Capalaba (Qld),93.0,0.20881592263578103
Cleveland - Stradbroke (Qld),93.0,0.20315774481678198
Wynnum - Manly (Qld),110.0,0.278783927364049
Bald Hills - Everton Park (Qld),87.0,0.344017432646593
Chermside (Qld),95.0,0.356384847845948
Nundah (Qld),113.0,0.325103371501272
Sandgate (Qld),124.0,0.268446192750773
Carindale (Qld),88.0,0.411618177753649
Holland Park - Yeronga (Qld),121.0,0.487184896108005
Mt Gravatt (Qld),88.0,0.407856613435752
Nathan (Qld),87.0,0.430554414784394
Rocklea - Acacia Ridge (Qld),113.0,0.33591526165973307
Sunnybank (Qld),81.0,0.380433409148345
Centenary (Qld),61.0,0.42205173600865503
Kenmore - Brookfield - Moggill (Qld),53.0,0.538620893755549
Sherwood - Indooroopilly (Qld),62.0,0.568302068302068
The Gap - Enoggera (Qld),71.0,0.396655189375307
Brisbane Inner (Qld),144.0,0.5308205567989289
Brisbane Inner - East (Qld),82.0,0.47140712945590996
Brisbane Inner - North (Qld),103.0,0.49778362654107206
Brisbane Inner - West (Qld),68.0,0.577358082147302
Cairns - North (Qld),102.0,0.26282435287070005
Cairns - South (Qld),158.0,0.19722398142284098
Innisfail - Cassowary Coast (Qld),164.0,0.116162399793121
Port Douglas - Daintree (Qld),158.0,0.183121489801951
Tablelands (East) - Kuranda (Qld),156.0,0.162745010492477
Darling Downs (West) - Maranoa (Qld),150.0,0.141260673028629
Darling Downs - East (Qld),146.0,0.12385143005047199
Granite Belt (Qld),122.0,0.137258340274429
Central Highlands (Qld) (Qld),137.0,0.138513086357314
Rockhampton (Qld),148.0,0.163547624494776
Biloela (Qld),136.0,0.127768101517791
Gladstone (Qld),128.0,0.144517446996466
Broadbeach - Burleigh (Qld),92.0,0.271806710564285
Coolangatta (Qld),93.0,0.222103207107303
Gold Coast - North (Qld),115.0,0.21159346918111605
Gold Coast Hinterland (Qld),97.0,0.237916169861506
Mudgeeraba - Tallebudgera (Qld),81.0,0.247518131783344
Nerang (Qld),102.0,0.19064902331443
Ormeau - Oxenford (Qld),91.0,0.18329506815077498
Robina (Qld),84.0,0.26249153689911997
Southport (Qld),105.0,0.257541120713688
Surfers Paradise (Qld),85.0,0.298863365392258
Forest Lake - Oxley (Qld),112.0,0.243326965770045
Ipswich Hinterland (Qld),140.0,0.112120015791552
Ipswich Inner (Qld),133.0,0.160592731347527
Springfield - Redbank (Qld),134.0,0.17801781879266002
Beaudesert (Qld),98.0,0.10891610694060301
Beenleigh (Qld),140.0,0.11460022186193401
Browns Plains (Qld),130.0,0.11680277709784402
Jimboomba (Qld),96.0,0.123922576742779
Loganlea - Carbrook (Qld),125.0,0.17208062157745302
Springwood - Kingston (Qld),134.0,0.19613228573358202
Bowen Basin - North (Qld),131.0,0.12779482683033802
Mackay (Qld),123.0,0.142020893371758
Whitsunday (Qld),113.0,0.14515473966371498
Bribie - Beachmere (Qld),121.0,0.12557900154400398
Caboolture (Qld),140.0,0.10526040440503301
Caboolture Hinterland (Qld),139.0,0.117214043035108
Narangba - Burpengary (Qld),101.0,0.128556840449314
Redcliffe (Qld),136.0,0.17410599249864
The Hills District (Qld),60.0,0.302305399388748
North Lakes (Qld),92.0,0.19658017171087303
Strathpine (Qld),111.0,0.159027869502047
Far North (Qld),187.0,0.11114543432596101
Outback - North (Qld),222.0,0.149451747743382
Outback - South (Qld),192.0,0.14088584386760597
Buderim (Qld),78.0,0.266074963284592
Caloundra (Qld),92.0,0.20501294976348
Maroochy (Qld),97.0,0.234117344460004
Noosa (Qld),74.0,0.25398941710761996
Sunshine Coast Hinterland (Qld),94.0,0.20563219930350896
Nambour (Qld),119.0,0.18839944189754798
Noosa Hinterland (Qld),85.0,0.21114966807483398
Toowoomba (Qld),110.0,0.227553134529879
Charters Towers - Ayr - Ingham (Qld),154.0,0.108298949338551
Townsville (Qld),126.0,0.20721618658427202
Bundaberg (Qld),137.0,0.136695804543916
Burnett (Qld),178.0,0.10953428676200999
Gympie - Cooloola (Qld),116.0,0.115771753235366
Hervey Bay (Qld),143.0,0.14666375790818698
Maryborough (Qld),141.0,0.09804459422391198
Adelaide City (SA),118.0,0.48632595783565
Adelaide Hills (SA),67.0,0.30743979983013103
Burnside (SA),55.0,0.54404969320506
Campbelltown (SA) (SA),75.0,0.338999641097589
Norwood - Payneham - St Peters (SA),84.0,0.475134677886114
Prospect - Walkerville (SA),98.0,0.44271713416694797
Unley (SA),87.0,0.5222792216051211
Gawler - Two Wells (SA),114.0,0.134382685686178
Playford (SA),161.0,0.08507709800323199
Port Adelaide - East (SA),127.0,0.316066725197542
Salisbury (SA),123.0,0.153542435424354
Tea Tree Gully (SA),80.0,0.21940431055094398
Holdfast Bay (SA),78.0,0.36379426806909204
Marion (SA),101.0,0.28754695584378803
Mitcham (SA),80.0,0.44967687118617894
Onkaparinga (SA),102.0,0.17472926306727599
Charles Sturt (SA),103.0,0.268505362030542
Port Adelaide - West (SA),140.0,0.202733548602605
West Torrens (SA),90.0,0.337044324772162
Barossa (SA),90.0,0.158140643623361
Lower North (SA),120.0,0.136915604128719
Mid North (SA),153.0,0.10720584530108301
Yorke Peninsula (SA),136.0,0.09746282908198099
Eyre Peninsula and South West (SA),129.0,0.12551083591331302
Outback - North and East (SA),166.0,0.128653752690412
Fleurieu - Kangaroo Island (SA),104.0,0.16470788043478302
Limestone Coast (SA),136.0,0.12302090357383698
Murray and Mallee (SA),136.0,0.103955311740688
Augusta - Margaret River - Busselton (WA),100.0,0.210513607671346
Bunbury (WA),126.0,0.154528063403136
Manjimup (WA),108.0,0.151198290337353
Mandurah (WA),128.0,0.136300872093023
Cottesloe - Claremont (WA),75.0,0.6273428053204351
Perth City (WA),97.0,0.540388479571333
Bayswater - Bassendean (WA),111.0,0.32332531640578804
Mundaring (WA),99.0,0.22075018630454604
Swan (WA),104.0,0.184095585794889
Joondalup (WA),78.0,0.29912983813117894
Stirling (WA),94.0,0.367310715553527
Wanneroo (WA),89.0,0.193307072052079
Armadale (WA),119.0,0.20515323881484
Belmont - Victoria Park (WA),128.0,0.347349831220799
Canning (WA),95.0,0.376823590274185
Gosnells (WA),124.0,0.227798563626199
Kalamunda (WA),94.0,0.218667604148356
Serpentine - Jarrahdale (WA),85.0,0.144948943548905
South Perth (WA),90.0,0.495795807018199
Cockburn (WA),92.0,0.259178916013728
Fremantle (WA),104.0,0.45708126182410097
Kwinana (WA),138.0,0.193598044098338
Melville (WA),69.0,0.43410320534824
Rockingham (WA),120.0,0.141077147833905
Albany (WA),123.0,0.176848095901193
Wheat Belt - North (WA),144.0,0.121549211919907
Wheat Belt - South (WA),135.0,0.137903722608466
Kimberley (WA),311.0,0.20294727405166102
East Pilbara (WA),170.0,0.146947897751083
West Pilbara (WA),103.0,0.16953966699314402
Esperance (WA),148.0,0.13546140452698802
Gascoyne (WA),167.0,0.157963690810406
Goldfields (WA),196.0,0.149162516976007
Mid West (WA),155.0,0.137297510865271
Brighton (Tas),173.0,0.07846008996757001
Hobart - North East (Tas),119.0,0.24697460918691602
Hobart - North West (Tas),152.0,0.132573661077649
Hobart - South and West (Tas),91.0,0.33605720122574106
Hobart Inner (Tas),124.0,0.5041302086520221
Sorell - Dodges Ferry (Tas),134.0,0.147522406510765
Launceston (Tas),146.0,0.222603174603175
Meander Valley - West Tamar (Tas),113.0,0.15810933252793696
North East (Tas),154.0,0.131485039802361
Central Highlands (Tas.) (Tas),147.0,0.10700447093889698
Huon - Bruny Island (Tas),98.0,0.222937695788374
South East Coast (Tas),133.0,0.14804878048780498
Burnie - Ulverstone (Tas),152.0,0.133253082366674
Devonport (Tas),118.0,0.134683369197664
West Coast (Tas),142.0,0.10782865583456401
Darwin City (NT),152.0,0.379986996867427
Darwin Suburbs (NT),142.0,0.325434439178515
Litchfield (NT),154.0,0.137648633750689
Palmerston (NT),193.0,0.18189373084714103
Alice Springs (NT),231.0,0.24829360495642103
Barkly (NT),383.0,0.135507246376812
Daly - Tiwi - West Arnhem (NT),334.0,0.10466014418125599
East Arnhem (NT),472.0,0.13444960212201598
Katherine (NT),339.0,0.15724008448721
Belconnen (ACT),84.0,0.42850823298107604
Gungahlin (ACT),55.0,0.4529068979536521
North Canberra (ACT),131.0,0.6017116709976271
South Canberra (ACT),102.0,0.657546844464881
Tuggeranong (ACT),89.0,0.304336424089164
Weston Creek (ACT),76.0,0.47497438899458505
Woden Valley (ACT),81.0,0.564773756734849
